s_m,lon,lat,B_m,C_1m
37578.280000,115.354319,35.498240,299.010000,-0.000543
37677.320000,115.353836,35.498992,313.960000,0.001089
37776.370000,115.353562,35.499805,254.160000,0.000453
37875.420000,115.353497,35.500678,299.010000,-0.001617
37974.470000,115.352980,35.501420,313.960000,-0.000903
38073.520000,115.352532,35.502182,343.860000,0.000000
38172.570000,115.352050,35.502934,358.810000,-0.000089
38271.620000,115.351567,35.503686,403.660000,-0.000122
38370.670000,115.351085,35.504438,373.760000,-0.000523
38469.720000,115.350555,35.505176,388.710000,-0.000788
38568.770000,115.349911,35.505881,388.710000,-0.000169
38667.820000,115.349220,35.506572,343.860000,0.001279
38766.870000,115.348668,35.507304,403.660000,0.002484
38865.920000,115.348399,35.508118,403.660000,0.002070
38964.970000,115.348399,35.509011,418.610000,0.001296
38964.970000,115.348399,35.509011,493.370000,0.002323
39059.110000,115.347643,35.509497,463.470000,0.002395
39153.250000,115.347195,35.510215,448.520000,0.001731
39247.390000,115.346782,35.510943,418.610000,0.000151
39341.530000,115.346507,35.511711,418.610000,-0.000598
39435.670000,115.345973,35.512404,448.520000,-0.000008
39529.810000,115.345610,35.513147,433.570000,0.000000
39623.960000,115.345162,35.513864,448.520000,0.000016
39718.100000,115.344714,35.514582,448.520000,-0.000000
39812.240000,115.344356,35.515326,418.610000,-0.000766
39906.380000,115.343817,35.516018,448.520000,-0.001014
39906.380000,115.343817,35.516018,523.270000,-0.004334
39986.860000,115.344003,35.516640,403.660000,-0.003200
40067.340000,115.343650,35.517263,358.810000,0.000312
40147.830000,115.343548,35.517958,328.910000,-0.000329
40228.310000,115.343548,35.518683,343.860000,-0.003732
40308.790000,115.343009,35.519252,343.860000,-0.004117
40308.790000,115.343009,35.519252,358.810000,-0.001859
40391.770000,115.343009,35.519999,254.160000,-0.000929
40474.740000,115.342739,35.520669,209.310000,0.000929
40557.710000,115.342739,35.521417,373.760000,-0.000987
40640.690000,115.342739,35.522164,388.710000,-0.003862
40723.660000,115.342200,35.522755,463.470000,-0.003892
40723.660000,115.342200,35.522755,299.010000,0.000000
40814.190000,115.342200,35.523571,343.860000,-0.000649
40904.730000,115.342200,35.524387,403.660000,-0.001298
40995.260000,115.341974,35.525137,463.470000,-0.000260
41085.790000,115.341760,35.525890,553.170000,-0.000612
41176.320000,115.341661,35.526678,612.970000,-0.002347
41266.850000,115.341122,35.527336,657.820000,-0.002691
41266.850000,115.341122,35.528145,1704.360000,0.000000
41362.060000,115.340073,35.528145,1375.450000,0.000000
41457.260000,115.339023,35.528145,897.030000,0.000883
41552.470000,115.337973,35.528145,224.260000,0.001857
41647.670000,115.337080,35.528414,508.320000,0.001948
41647.670000,115.336810,35.529223,687.720000,0.004339
41716.190000,115.336332,35.529701,598.020000,0.006085
41784.710000,115.336271,35.530301,627.920000,0.005663
41853.230000,115.336541,35.530840,583.070000,0.003493
41853.230000,115.336541,35.530840,583.070000,0.000305
41947.800000,115.336271,35.531614,583.070000,-0.000000
42042.370000,115.336056,35.532403,598.020000,-0.000306
42136.940000,115.335732,35.533161,598.020000,0.000000
42231.500000,115.335463,35.533935,568.120000,-0.000577
42326.070000,115.335193,35.534709,343.860000,-0.000654
42420.640000,115.334668,35.535408,224.260000,0.000883
42515.210000,115.334425,35.536189,224.260000,0.000539
42609.780000,115.334183,35.536971,194.360000,-0.001112
42704.340000,115.333846,35.537725,179.410000,0.000794
42798.910000,115.333307,35.538420,134.550000,0.003892
42893.480000,115.333576,35.539194,164.460000,0.004507
42893.480000,115.333576,35.539194,209.310000,0.001706
42981.680000,115.333037,35.539832,134.550000,0.001952
43069.890000,115.332768,35.540548,134.550000,0.001753
43158.090000,115.332565,35.541284,104.650000,0.002988
43246.290000,115.332498,35.542060,,0.004247
43334.490000,115.333037,35.542698,89.700000,0.003827
43334.490000,115.333037,35.542698,104.650000,0.000000
43433.460000,115.333307,35.543511,104.650000,-0.000574
43532.430000,115.333576,35.544325,119.600000,-0.001582
43631.390000,115.334066,35.545074,164.460000,-0.001009
43730.360000,115.334643,35.545662,209.310000,0.000459
43829.330000,115.335129,35.546406,194.360000,0.000714
43928.300000,115.335611,35.547158,269.110000,0.000107
44027.260000,115.336002,35.547936,269.110000,-0.000466
44126.230000,115.336541,35.548671,254.160000,0.000363
44225.200000,115.337057,35.549412,209.310000,0.000771
44324.170000,115.337330,35.550225,284.060000,-0.000451
44423.140000,115.337812,35.550976,239.210000,-0.001064
44522.100000,115.338294,35.551728,239.210000,-0.001527
44621.070000,115.338985,35.552418,224.260000,-0.001545
44720.040000,115.339775,35.552938,328.910000,-0.001086
44720.040000,115.339775,35.552938,343.860000,-0.001578
44818.800000,115.340255,35.553688,388.710000,-0.002653
44917.560000,115.340998,35.554286,388.710000,-0.003001
45016.320000,115.341931,35.554555,343.860000,-0.002275
45016.320000,115.341931,35.554555,373.760000,-0.003164
45110.570000,115.342380,35.555274,418.610000,-0.003589
45204.820000,115.343211,35.555633,1106.340000,-0.002153
45299.060000,115.344094,35.555903,1076.440000,0.000685
45393.310000,115.344947,35.556224,807.330000,0.001447
45487.560000,115.345704,35.556711,687.720000,0.001234
45487.560000,115.345704,35.557250,553.170000,0.001364
